
   Spacecraft1.ElapsedTime      DistChile         DistPalma         DistHawaii         DistSALT          DistDAG
             day                   None              None              None              None              None
           0.000000000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.001388889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.002777778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.004166667           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.005555556           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.006944444           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.008333333           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.009722222           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.011111111           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.012500000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.013888889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.015277778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.016666667           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.018055556           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.019444444           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.020833333           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.022222222           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.023611111           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.025000000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.026388889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.027777778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.029166667           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.030555556           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.031944444           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.033333333           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.034722222           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.036111111           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.037500000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.038888889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.040277778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.041666667           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.043055556           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.044444444           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.045833333           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.047222222           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.048611111           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.050000000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.051388889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.052777778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.054166667           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.055555556           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.056944444           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.058333333           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.059722222           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.061111111           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.062500000           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.063888889           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
           0.065277778           0.000000000       0.000000000       0.000000000       0.000000000       0.000000000
